Country,Experience_Years,Salary,Number_of_Projects,Performance_Score,Education_Level,Certification_Status
Brazil,20,140351.3517983512,48,95.07968174740408,PhD,Certified
Canada,4,64331.08158893794,35,70.88685457427972,Master's,Not Certified
Brazil,8,60147.91774346989,41,95.12435560288695,Diploma,Certified
South Africa,10,74616.31870373122,41,77.75220578258903,Bachelor's,Certified
Brazil,2,80091.59660501778,45,77.71043183469138,Master's,Certified
South Africa,5,72221.74394707325,43,74.32459751484261,Master's,Certified
USA,5,35725.831065192055,21,65.23134640148356,Diploma,Not Certified
China,10,58854.609263510996,30,100.0,Diploma,Certified
Germany,15,115218.75094740518,7,73.21747155175785,PhD,Not Certified
Brazil,15,71308.23981331626,22,67.10302803873734,Diploma,Not Certified
Brazil,22,77383.32253974317,1,57.385660321224925,Diploma,Not Certified
India,17,122533.63101921698,37,86.09933997680217,Master's,Certified
Australia,15,107938.54679066614,1,95.73384568198604,Master's,Not Certified
Germany,10,107440.81168254091,24,57.36208142509698,PhD,Certified
Australia,19,92758.92675323033,17,55.34846304655548,Bachelor's,Certified
China,12,112631.5827280717,22,93.03028980885222,Master's,Not Certified
Australia,1,39581.677408054406,28,52.78997136469219,Bachelor's,Certified
Australia,18,108188.38188299023,42,54.61711916918668,Master's,Certified
Brazil,6,65027.74272864354,12,65.65706200352842,Master's,Certified
Brazil,17,125893.6089056845,17,98.75479009238938,PhD,Not Certified
Canada,14,79502.05725174899,23,54.610706883869526,Bachelor's,Certified
USA,8,104141.63604906999,17,94.82738355402667,PhD,Certified
UK,10,85752.88013812559,17,76.21669319276984,Master's,Not Certified
China,11,62392.79861403457,8,59.65471128665679,Diploma,Certified
India,9,74502.70817244776,25,66.79543833772294,Bachelor's,Certified
Germany,9,63882.33584553858,33,86.97980034232187,Bachelor's,Certified
UK,22,136713.23652991618,20,100.0,PhD,Certified
India,5,57564.05237640087,42,78.39980215431011,Diploma,Not Certified
USA,17,122026.21307903304,22,95.79099671311265,Master's,Not Certified
UK,17,125432.85283370975,23,95.01601451482951,PhD,Certified
China,1,72312.31851618456,43,78.07121857013266,Master's,Certified
Australia,14,124324.2924716769,21,61.689511886421606,PhD,Not Certified
USA,12,61204.97064805907,49,73.81865988826836,Diploma,Certified
Brazil,18,91258.12499497272,22,67.25130318626023,Bachelor's,Certified
Germany,18,79048.53680340455,1,71.60460088055672,Diploma,Not Certified
France,11,92256.71011604309,38,86.63474834663685,Master's,Certified
USA,7,66330.40978790003,27,86.18446289689402,Bachelor's,Certified
India,15,119902.6901213704,20,61.475815689642445,PhD,Certified
Germany,14,73912.77190294037,10,94.35617236521401,Bachelor's,Not Certified
India,18,137083.6237222727,23,66.15850678208903,PhD,Certified
China,14,75405.21248834107,7,96.66252023426006,Bachelor's,Certified
South Africa,7,70598.23529342157,17,56.59198427187554,Bachelor's,Certified
China,10,86008.90971328165,30,69.72875033733926,PhD,Certified
France,7,89615.10429789768,38,87.45882441367812,PhD,Certified
India,6,84363.9199705923,14,57.64116351591528,PhD,Not Certified
Australia,6,91677.30675045906,3,71.07497929140058,Master's,Not Certified
France,10,84727.78935759976,22,50.0,Bachelor's,Not Certified
India,3,45016.73850649539,11,55.57515031270717,Diploma,Certified
South Africa,4,52674.51962594785,23,81.30966471836999,Diploma,Not Certified
Germany,0,55827.115725856034,21,61.88359063391896,Bachelor's,Certified
China,20,67082.51824341992,36,55.085587962495,Diploma,Certified
Brazil,0,73177.4942860335,31,94.10501994726951,Master's,Not Certified
Brazil,0,44172.882449032855,39,80.51282582854657,Diploma,Certified
China,11,76464.68480154077,26,100.0,Bachelor's,Certified
South Africa,4,82876.20256386528,15,62.06399926575063,PhD,Certified
USA,7,97020.48131993384,14,92.45137557397437,PhD,Not Certified
Brazil,12,54204.062300232785,32,88.72174589193575,Diploma,Certified
South Africa,15,128925.72787398421,17,62.1986989884993,PhD,Not Certified
China,3,64886.07408674171,6,89.32457947199377,Master's,Not Certified
UK,4,42102.53868162012,22,88.42164453846507,Diploma,Not Certified
USA,11,79599.32030956229,43,68.47140923148322,Bachelor's,Certified
Brazil,16,123774.39199552151,20,61.861851116728985,PhD,Certified
India,11,102545.25360378117,8,58.28997595456931,Master's,Not Certified
Canada,18,87455.93107320748,48,68.59763319142013,Bachelor's,Not Certified
Canada,12,117554.97180955294,21,63.51503709630146,PhD,Certified
Brazil,18,77731.34662944947,21,85.41577933592406,Diploma,Certified
India,5,54190.176528424796,1,63.92766238474241,Bachelor's,Certified
South Africa,9,96512.93291047086,21,82.34629616933275,Master's,Not Certified
UK,9,69846.1951010808,38,57.49251976507535,Bachelor's,Certified
UK,17,134675.61911254885,12,82.54851833487037,PhD,Not Certified
India,2,82278.71382643364,5,75.46767855985819,PhD,Certified
Brazil,19,71504.31494704737,35,59.93314412262659,Diploma,Not Certified
China,3,70513.83733373097,29,90.46113682853851,PhD,Certified
Brazil,3,59346.14640745372,40,100.0,Bachelor's,Not Certified
Canada,12,104639.32943257064,23,61.5104883188074,PhD,Certified
Australia,15,115769.445911997,3,86.15764379228641,PhD,Certified
Canada,2,51389.18379386159,33,57.46933835227232,Bachelor's,Not Certified
France,14,117410.93285099785,14,74.88801376671056,PhD,Not Certified
South Africa,3,73013.3136133413,38,96.00065329469736,PhD,Certified
UK,14,98724.88668027724,12,65.51393135455312,Master's,Certified
Brazil,6,86135.2507844965,10,93.43664809907585,Master's,Not Certified
China,11,66811.48195271673,44,82.37364452527848,Diploma,Not Certified
China,1,51359.52626687756,42,82.26601524614745,Diploma,Not Certified
France,12,85549.3832450318,45,62.67187084200004,Bachelor's,Certified
France,13,64696.708834088466,24,78.08727676275142,Diploma,Not Certified
South Africa,6,58589.406803220016,17,56.84413321895688,Bachelor's,Certified
China,10,58131.90529750493,29,61.31925340553976,Diploma,Certified
China,8,91853.21556447698,23,75.4795227226087,PhD,Certified
France,4,67854.25008230207,15,56.83855560484256,Bachelor's,Not Certified
Germany,20,72434.48151830654,4,55.50526164801314,Diploma,Certified
South Africa,7,86231.61762081178,13,70.97337646256446,Master's,Not Certified
UK,1,39710.87598638611,49,69.43828817591445,Diploma,Not Certified
Germany,0,58959.16412145257,46,56.49188592171959,Bachelor's,Not Certified
India,22,117194.53582415929,3,89.84634375187724,Master's,Not Certified
South Africa,8,101053.79088343387,16,74.4293530151002,PhD,Certified
France,5,83834.53970805909,8,89.48698991827612,Master's,Not Certified
China,14,114358.60316365161,44,65.31133669597283,Master's,Certified
USA,20,70673.24633951868,32,60.77187739452538,Diploma,Certified
Australia,19,137793.11714880052,41,71.78462831871299,PhD,Certified
Canada,14,65486.70109876442,36,50.0,Diploma,Not Certified
China,14,99879.9853853504,1,94.6837696151239,Master's,Not Certified
China,19,69595.69365395737,12,76.06474795338157,Diploma,Certified
Canada,16,70673.59796718898,18,56.89767615119015,Diploma,Certified
Australia,4,57845.565622359136,17,89.61479328892246,Bachelor's,Certified
France,12,91799.74559440969,45,86.42205603907607,Bachelor's,Certified
India,0,44241.59794335408,26,69.17644637602068,Diploma,Certified
Australia,8,54935.843584924914,36,65.8477354032378,Diploma,Certified
UK,4,88622.57588212249,24,95.70837642698264,PhD,Not Certified
Germany,10,93815.44900443566,26,94.70076311068573,PhD,Certified
China,11,99099.08900522687,6,52.08617131730485,Master's,Not Certified
Canada,5,41671.36578535136,19,91.89384903272234,Diploma,Certified
Australia,17,128304.16658696528,19,83.66408604852076,PhD,Not Certified
Germany,9,116681.06272572072,24,53.84533942117134,PhD,Certified
Brazil,20,97543.06709314845,19,76.22557920313554,Bachelor's,Certified
Australia,3,72494.99775712655,44,92.7287259739814,Bachelor's,Not Certified
Brazil,17,91527.50684202152,24,79.00827440452142,Bachelor's,Not Certified
UK,6,75461.65179096173,4,56.24027664493398,Bachelor's,Certified
UK,20,83469.39869576684,19,67.55831643535647,Diploma,Certified
UK,4,52717.4458090798,34,90.21799944527852,Bachelor's,Certified
India,17,132286.956859221,41,84.08756091406956,PhD,Not Certified
China,9,78430.550882555,39,96.53446045990016,Master's,Not Certified
China,18,122522.75625091953,21,87.8827303485865,Master's,Not Certified
Brazil,18,124618.1937849728,10,61.74507750986007,Master's,Not Certified
China,16,119468.66570701427,39,72.19880076155866,PhD,Not Certified
UK,18,109020.11373695527,47,91.00903024586383,Master's,Not Certified
Australia,8,57228.082278484784,42,75.77509609261574,Diploma,Not Certified
South Africa,12,59948.100356579846,46,56.123634328523444,Diploma,Certified
South Africa,17,129517.32205698515,32,86.76142918746845,PhD,Certified
UK,21,131939.2735225464,2,67.78070298635748,Master's,Certified
UK,12,83735.82382866956,21,90.9122131095278,Bachelor's,Not Certified
UK,17,137025.39081214185,31,79.60654066215503,PhD,Certified
China,21,119542.99431055778,49,62.859024986364005,Master's,Certified
South Africa,15,116271.51956265977,2,59.54227215771311,PhD,Not Certified
India,21,106562.66884339841,33,74.95082994309203,Bachelor's,Not Certified
Germany,4,50111.69947497139,28,64.41985451718422,Diploma,Certified
France,10,100183.69748831725,22,61.68701670821679,Master's,Certified
UK,14,96291.96857416104,34,62.86906004670782,Master's,Not Certified
France,9,67807.22688836016,45,67.03201920109152,Diploma,Not Certified
Australia,10,96870.90526921468,35,82.54792495550143,PhD,Certified
Canada,14,66158.16396258443,33,95.67711209264313,Diploma,Not Certified
Australia,17,80526.76557519533,3,69.73455625802006,Bachelor's,Not Certified
France,18,30000.0,21,50.0,,Not Certified
Germany,6,54944.528522927205,32,83.56045479660047,Diploma,Certified
China,7,89644.27926179512,26,79.95766221388708,PhD,Certified
Brazil,18,72368.16893884576,51,84.53816551153824,Diploma,Not Certified
UK,4,60350.55421689085,14,96.18299490070517,Bachelor's,Not Certified
USA,15,88940.99529616807,25,61.78118270858352,Bachelor's,Certified
Australia,5,65003.33959632553,30,68.18655707911945,Bachelor's,Certified
South Africa,13,105320.69344512268,11,88.6459421596268,Master's,Certified
South Africa,12,96312.36155571934,35,85.72994003451689,Master's,Certified
France,9,105750.65340999706,46,60.43457776641892,PhD,Not Certified
India,12,100552.2990736079,8,52.30377584446421,Master's,Not Certified
Canada,14,104034.53644356568,28,62.85324654603642,Master's,Not Certified
USA,14,95577.46023539161,34,81.02353312449952,Bachelor's,Certified
China,17,112242.25199688197,45,71.45080824966763,Master's,Certified
UK,6,99191.2523997755,29,93.06105440734474,PhD,Certified
UK,13,100045.2908447273,28,62.115511638949975,Master's,Not Certified
South Africa,0,38314.28568443079,40,67.35510102204519,Diploma,Certified
China,11,104005.03434377778,8,53.41998876541496,Master's,Not Certified
Brazil,0,59851.20813636379,42,95.08206111402023,Bachelor's,Not Certified
South Africa,16,114515.2001298223,10,94.18887024583147,PhD,Not Certified
Brazil,12,100369.60838778646,24,56.14451137912218,Master's,Certified
France,7,99287.72720246778,18,59.93457765746183,PhD,Certified
Canada,11,89362.87595677798,20,53.155852363627915,Bachelor's,Certified
Canada,6,70392.28174422678,15,90.48743164885379,Bachelor's,Not Certified
China,3,57457.03915655272,43,87.31285303232956,Diploma,Not Certified
China,7,62957.806080545044,15,98.72399567093402,Bachelor's,Certified
France,2,77143.37476927611,41,63.64473349425245,PhD,Certified
South Africa,9,30000.0,38,50.0,,Certified
India,7,68227.90289310634,35,88.06337255661622,Bachelor's,Not Certified
Australia,13,111124.12669744564,52,61.833311213891065,Master's,Not Certified
Canada,19,75002.58853534915,21,80.06666141192368,Diploma,Certified
India,15,71014.50916797761,18,87.31356384590826,Diploma,Certified
Brazil,13,110763.30595590797,47,80.92453945881331,Master's,Not Certified
Brazil,9,87334.76287223223,26,72.90264778606453,Master's,Not Certified
China,17,96576.07881507669,46,73.75109782296715,Master's,Not Certified
France,3,63746.535008088045,35,78.73756056603703,Master's,Certified
Brazil,4,71722.40270567933,36,77.66437336923563,PhD,Not Certified
USA,13,118874.46817972198,11,77.34529060975395,PhD,Certified
USA,3,37784.815691442636,24,73.12990442496978,Diploma,Not Certified
Canada,12,95384.47271012234,38,91.82083231223051,Master's,Certified
China,9,73170.73232397143,29,50.98658261328991,Bachelor's,Certified
Australia,15,75179.98709838625,9,83.98837794667728,Diploma,Not Certified
France,3,91803.0771505302,23,62.27726594958583,PhD,Certified
France,9,101606.26464254636,41,66.25830040477211,PhD,Certified
South Africa,15,88166.04621737597,45,86.94441000795246,Bachelor's,Not Certified
India,7,62166.02210357497,13,59.23423941095182,Bachelor's,Not Certified
India,6,52409.95041083576,30,69.37773417417428,Diploma,Not Certified
China,10,79201.8756274159,7,96.33314763492108,Bachelor's,Certified
Brazil,11,98568.87820044508,3,63.20569278341961,PhD,Certified
China,13,104941.80453423432,50,73.21666396533885,Master's,Not Certified
India,16,114117.61405005047,40,72.75970992612035,Master's,Certified
Brazil,5,53467.56631090853,1,95.80483439356439,Diploma,Certified
France,12,108340.67293229293,25,94.47677296848235,Master's,Not Certified
USA,16,111391.43817582335,10,82.75948212949028,PhD,Not Certified
Brazil,11,86533.96945371911,17,93.54828557921475,PhD,Not Certified
Germany,19,116019.55658826034,1,58.289153203857474,Master's,Not Certified
India,7,84030.59103691501,27,86.08495321264456,Master's,Not Certified
France,14,109500.69908663494,20,57.80491300869726,Master's,Not Certified
Canada,14,78690.03241813237,46,80.80991476356706,Bachelor's,Certified
UK,1,66887.90241847369,49,74.69625674771437,Master's,Certified
USA,4,62668.034044192435,30,71.62638699713742,Bachelor's,Certified
South Africa,15,76196.22179321534,46,77.25035285810745,Diploma,Not Certified
Germany,2,44049.043737978616,47,65.52447903929131,Bachelor's,Not Certified
Germany,7,112099.36682305695,25,92.54003496922567,PhD,Certified
India,13,106090.63857921446,16,53.33207347799149,Master's,Not Certified
India,10,76317.33553392938,23,83.9132070756704,Bachelor's,Not Certified
USA,0,56386.970780792326,30,71.15943842389879,Bachelor's,Certified
India,10,86509.83047460282,5,77.02835818938433,Master's,Certified
South Africa,17,110657.20583910003,24,63.032997574069455,Master's,Certified
UK,20,139099.52329849612,19,100.0,PhD,Certified
South Africa,4,73829.60069930399,3,92.86199625217856,Master's,Certified
Canada,10,97535.01933085933,45,59.54359398519755,PhD,Certified
Canada,12,77936.78041828709,49,54.13821184087821,Master's,Certified
China,11,62196.62320050325,4,64.48890792196467,Diploma,Certified
Canada,20,107646.63505277988,36,57.80093437472088,Bachelor's,Not Certified
Germany,8,98496.90960408533,41,92.34831944188852,Master's,Certified
China,1,34701.29274065257,26,79.44445967391303,Diploma,Not Certified
China,10,73341.6948824492,37,52.686007467961645,Bachelor's,Not Certified
Germany,6,78184.58556782806,31,67.22670630333293,Bachelor's,Not Certified
South Africa,6,58236.68903192745,27,89.70876288807824,Diploma,Not Certified
USA,19,86923.06284127425,43,50.0,Diploma,Certified
Brazil,12,65188.6265560827,21,87.48756601767623,Diploma,Certified
Canada,18,99554.44646287084,19,62.53469977750572,Bachelor's,Not Certified
Australia,16,30000.0,7,50.0,,Not Certified
France,7,73785.20324896673,34,70.75423248219927,Bachelor's,Not Certified
Canada,8,62171.16238738464,12,87.89492011261066,Diploma,Not Certified
China,14,63676.800329932994,44,82.66355614843503,Diploma,Not Certified
Australia,4,69543.15065133522,7,73.08186668743646,Master's,Not Certified
Canada,0,59102.564428206984,20,53.75542204510667,Bachelor's,Not Certified
USA,1,61813.94279172159,42,82.69151540791647,Master's,Certified
India,8,51438.03162989042,29,56.81129141499058,Diploma,Not Certified
USA,2,89313.4622548105,20,95.62206856460604,PhD,Not Certified
China,10,99800.6453532236,43,88.50376385832561,Master's,Certified
France,3,65650.83068808175,16,75.98048862979584,Master's,Certified
India,7,44997.82639946518,22,97.27648209663603,Diploma,Not Certified
Germany,16,100074.98802159722,18,93.30175046652526,Master's,Certified
Australia,10,101506.73484332266,45,90.44348977905084,PhD,Certified
India,6,55311.725719962786,12,57.35117774915297,Diploma,Certified
Australia,8,63396.24015538661,4,72.97008789517764,Diploma,Certified
USA,18,125358.91611135268,13,88.96195981583499,Master's,Certified
South Africa,12,64338.22616559327,18,58.739711868791815,Diploma,Certified
India,20,121664.58425576205,26,72.65104268398687,Master's,Certified
Brazil,8,91846.84460974734,10,63.993893497266846,PhD,Not Certified
Australia,14,107059.2899038971,26,94.2360264758225,Master's,Not Certified
USA,7,100932.82129803898,43,50.99227566434179,PhD,Not Certified
Australia,9,101375.49192733507,7,81.86985968187102,PhD,Not Certified
France,0,33643.69745821189,6,78.74223898662561,Diploma,Not Certified
France,19,133727.03934494336,22,92.17981367210741,PhD,Not Certified
France,18,113268.09927217566,33,90.18201280611729,Master's,Not Certified
Canada,7,77023.8610957846,11,53.00910460331503,Master's,Not Certified
Canada,18,98194.04648107302,13,89.71033769143261,Bachelor's,Certified
Brazil,20,128528.20064584639,6,68.14304407551262,Master's,Certified
Brazil,5,88809.69727178209,15,67.1135458426775,PhD,Not Certified
UK,12,73723.40360285885,20,69.90889002067217,Bachelor's,Certified
Canada,15,117870.03819055279,13,93.59030927692527,Master's,Not Certified
France,18,89461.31298035993,18,85.92850227515655,Bachelor's,Certified
Australia,2,60277.037520183956,18,88.97529808816459,Bachelor's,Certified
Germany,19,89146.37281693982,14,58.810716407083866,Diploma,Certified
South Africa,17,140724.22499582166,14,73.38841934885144,PhD,Certified
France,5,75409.46303726498,41,61.59775896472738,Master's,Not Certified
Brazil,8,48199.50324225116,1,96.6513189905636,Diploma,Certified
Australia,13,111002.03695663033,46,92.67631899327581,PhD,Certified
UK,3,80239.60872497097,38,75.77174036112285,PhD,Not Certified
India,8,61497.87673898384,21,64.34920825437857,Diploma,Not Certified
Canada,2,45668.04551407513,50,72.60105491510659,Bachelor's,Certified
UK,14,109467.00521286236,14,68.1894328909575,Master's,Not Certified
Brazil,20,123896.483098193,10,63.39949819422749,Master's,Certified
Germany,4,77989.50827310457,3,58.55774423149614,PhD,Not Certified
India,12,115377.83047463826,47,94.43617117959931,PhD,Not Certified
UK,8,114875.80857696652,25,85.04889546460934,PhD,Not Certified
Brazil,17,112980.74874788338,32,93.78445871844086,Master's,Certified
UK,21,82024.87492296386,50,93.81798934018816,Diploma,Certified
Germany,11,77965.15184069495,5,72.1746945127532,Bachelor's,Certified
USA,9,77841.5950674217,14,66.84098196999807,Bachelor's,Certified
France,16,90376.47466433921,31,72.27537979131941,Bachelor's,Not Certified
France,15,87872.25054280902,37,81.5590540722063,Bachelor's,Certified
UK,13,71133.11988848312,14,56.13350928440063,Diploma,Not Certified
Germany,8,50774.38438427831,21,52.9933859996718,Diploma,Not Certified
China,17,93004.88520478948,30,92.23385303989775,Bachelor's,Certified
UK,7,59417.36257073405,6,94.19308088410166,Diploma,Certified
China,18,30000.0,10,50.0,,Certified
USA,12,112113.40432548443,11,55.74759783908112,PhD,Certified
France,2,61222.56034105008,12,58.68845406408196,Bachelor's,Not Certified
South Africa,6,44302.77442915246,1,94.97720755007451,Diploma,Not Certified
France,12,70181.74450755128,40,92.20141529561505,Bachelor's,Not Certified
France,7,48760.04955184644,33,70.0357955832506,Bachelor's,Not Certified
Germany,6,102635.20348588884,19,87.98529838303243,PhD,Certified
China,7,84383.96698687431,48,94.01349799694214,Master's,Not Certified
Australia,2,68512.2447621287,29,69.69808747135292,Bachelor's,Certified
Canada,6,92380.22646963673,33,65.28674829007547,PhD,Not Certified
Brazil,10,107869.81456109924,40,94.8384578318979,PhD,Certified
Australia,11,45362.49681273761,40,62.67493828943131,Diploma,Certified
South Africa,15,67170.75241892165,5,96.459409402476,Diploma,Certified
South Africa,5,61469.24620232581,18,54.06019769076658,Bachelor's,Certified
Brazil,12,93936.07224255137,25,53.28368478026815,Bachelor's,Certified
India,13,82195.3390740857,36,50.91200599928888,Bachelor's,Certified
Australia,17,136291.80273281757,47,69.4208836857097,PhD,Not Certified
Canada,14,80620.8051618443,43,73.13598342260211,Bachelor's,Not Certified
Canada,3,82549.62663367126,14,50.45299387853591,Master's,Not Certified
Brazil,4,58221.07987519398,27,79.25208838512461,Bachelor's,Not Certified
India,19,109575.65255895113,11,72.74292556736714,Master's,Not Certified
Australia,4,95929.27388236084,18,68.12000509760392,PhD,Certified
Australia,3,89357.9966169574,46,84.71438033860443,PhD,Certified
France,3,52356.75653927429,3,77.32056671470905,Diploma,Certified
USA,7,94562.42039067656,42,82.47026333175394,Master's,Not Certified
USA,8,91616.96615561872,24,82.79367608569282,Master's,Not Certified
China,1,77020.34585909561,19,58.64580150667236,Master's,Certified
USA,7,56950.076523290234,1,74.4461424099307,Diploma,Not Certified
Germany,5,62983.56137329881,49,97.94694334920528,Bachelor's,Not Certified
USA,17,119496.05698264042,31,52.205394282940915,PhD,Certified
USA,16,125102.89188409586,14,64.72021893463906,PhD,Certified
France,16,104288.90389077275,25,90.94632064256095,Master's,Certified
India,12,102705.37606293769,43,81.74385292208731,Master's,Not Certified
Australia,16,70071.25428496269,27,82.97980172150015,Diploma,Not Certified
India,12,106915.47609654591,14,64.88210988874359,PhD,Certified
India,10,64993.8706485245,5,61.02427017345103,Diploma,Certified
USA,3,50401.06578201589,28,71.50334350472065,Bachelor's,Certified
South Africa,1,69284.14712530246,37,100.0,PhD,Certified
USA,3,77897.71594879757,30,91.43223835694694,Master's,Certified
South Africa,2,43945.580755383344,4,93.92276455467876,Bachelor's,Not Certified
India,9,56074.35242246141,32,66.15402214305905,Diploma,Not Certified
UK,12,110932.4478925008,11,66.57494845588577,Master's,Not Certified
Brazil,11,98537.19004609546,12,51.69243604545702,Master's,Certified
South Africa,8,55691.087816172214,28,91.88069084529177,Diploma,Not Certified
Germany,11,68726.86288925003,3,77.6400989854607,Diploma,Not Certified
India,12,71186.72861966828,14,94.19417183316021,Diploma,Certified
UK,14,58723.24716638885,8,100.0,Diploma,Not Certified
South Africa,5,80971.52120579332,23,75.0809377107487,Master's,Certified
India,16,136908.86025180222,26,80.21709439044434,PhD,Not Certified
UK,20,132188.24053825514,14,79.87538729186572,PhD,Not Certified
UK,3,79766.84938335964,35,57.85747655101594,PhD,Certified
Germany,7,73640.74903865965,33,86.46653917155588,Bachelor's,Certified
USA,2,76340.4523482241,27,61.02939918210748,PhD,Not Certified
USA,1,34680.60472140237,23,70.94837988574011,Diploma,Not Certified
India,11,111595.79168731767,5,57.00485352323857,Master's,Not Certified
Australia,19,82938.18712421232,20,93.38987596664303,Diploma,Certified
USA,11,98688.67653686201,3,96.00244089133523,PhD,Certified
UK,14,89872.33601945624,17,94.18733541750127,Bachelor's,Not Certified
UK,12,95493.84024117593,14,67.24214420202244,Master's,Not Certified
South Africa,3,42645.468924735025,4,94.98875655308304,Diploma,Not Certified
Germany,6,93915.55277027446,40,62.55623221789481,PhD,Not Certified
China,5,88723.89032146006,38,68.9306672227746,PhD,Certified
Canada,16,74848.24971480265,28,64.98067060317003,Diploma,Certified
South Africa,11,106332.7950825238,46,79.98207383413262,Master's,Not Certified
France,11,73382.00177223668,37,87.18360460983486,Bachelor's,Not Certified
UK,1,88968.19006699724,32,60.25309302287179,PhD,Not Certified
France,2,95649.91717667283,43,57.73867109950938,PhD,Not Certified
UK,22,68353.74709169226,28,94.79501836923582,Diploma,Certified
India,6,81852.71792988932,26,53.59059532131663,Master's,Certified
UK,5,76748.23894591263,27,90.07758486858775,Master's,Certified
Brazil,5,51107.06911260492,12,93.47075277256208,Diploma,Not Certified
France,22,73399.0151028292,35,86.05866827011543,Diploma,Certified
France,6,80287.20143794297,34,82.71465667632891,Bachelor's,Not Certified
France,8,71145.8095056272,34,88.78484123961957,Bachelor's,Certified
South Africa,16,102634.41570577606,21,91.36752313705678,Master's,Certified
Canada,9,87763.05653562798,50,61.3890872300282,PhD,Certified
India,19,148844.7484442017,13,65.94259884372714,PhD,Not Certified
Australia,3,51119.992091723405,30,54.41399881848028,Bachelor's,Certified
Brazil,17,84449.00424746706,23,82.33048181594725,Bachelor's,Not Certified
UK,19,107716.40205828947,48,90.58059490358214,Master's,Not Certified
China,2,54626.05915888841,41,90.80588728207384,Bachelor's,Certified
Germany,15,121142.17559595538,3,75.68166569242345,PhD,Not Certified
Germany,6,62563.12511463938,49,96.81375686340512,Bachelor's,Not Certified
Australia,7,85746.65590748121,26,73.335308429221,Master's,Certified
Canada,16,93976.13903165894,45,71.66804504384807,Bachelor's,Not Certified
Canada,16,128314.41655637693,31,59.582567291827324,PhD,Certified
Australia,4,78202.3202567463,22,91.90738907659617,PhD,Certified
Brazil,4,50354.10742032163,24,90.92165232470472,Bachelor's,Certified
Australia,13,89585.24911380572,4,60.00668724109279,Bachelor's,Certified
India,21,118951.05849720848,13,69.29193191172241,Master's,Not Certified
Germany,3,70155.81364484526,15,57.24945148500814,PhD,Certified
Australia,12,70891.03395277941,22,93.33477910906453,Diploma,Certified
UK,20,98037.60650210956,29,94.14058988137307,Diploma,Certified
China,10,66618.28204487945,9,94.36373150431886,Diploma,Not Certified
Germany,10,62413.78602921111,30,64.32760020855373,Bachelor's,Not Certified
China,7,57194.89415377882,29,99.99919806607221,Diploma,Certified
Brazil,18,128481.48047451414,1,54.25461889761677,PhD,Not Certified
USA,16,75900.81614089628,3,87.30944841070014,Diploma,Certified
Brazil,18,76516.68952877317,10,95.02180256559109,Diploma,Not Certified
France,13,104343.99640201287,23,69.60771252121896,Master's,Certified
Brazil,11,99322.60580159207,16,92.8701818079698,PhD,Not Certified
Brazil,6,72814.06493694233,48,60.35510160381045,Bachelor's,Not Certified
Brazil,16,65262.248843049536,31,52.0015586564357,Diploma,Certified
Australia,18,74451.14017308751,25,93.59638215435453,Diploma,Certified
Canada,6,99281.98009544758,21,74.29842667432311,PhD,Not Certified
France,12,75450.34766806013,32,57.49535546355427,Bachelor's,Not Certified
Brazil,11,67761.67487858672,44,83.85100972179748,Diploma,Not Certified
Australia,8,86140.60975290315,30,58.613992246796045,PhD,Not Certified
Brazil,16,89399.48646156916,21,84.84038449127263,Master's,Not Certified
Australia,19,83272.9290849279,22,87.30578214619518,Diploma,Not Certified
UK,7,92403.69144327099,48,62.45486278556292,PhD,Certified
UK,4,54161.79728437341,29,69.33255322659025,Bachelor's,Certified
Germany,6,67731.76475788972,45,77.37874671997062,Bachelor's,Certified
Australia,9,111342.10870735654,18,96.5571374620859,PhD,Certified
India,16,104232.34047473918,46,68.60171592972249,Master's,Not Certified
China,11,78945.79390100761,31,50.0,Bachelor's,Not Certified
South Africa,21,143879.79094946643,25,52.155833429983836,PhD,Not Certified
USA,10,92663.38386504426,29,65.70958958062161,Bachelor's,Certified
India,19,91292.46034977818,23,66.75371578090345,Bachelor's,Not Certified
India,13,97464.17804250303,9,57.647726355767226,Master's,Certified
Canada,9,76640.95125742827,31,64.49899632096567,Bachelor's,Not Certified
Canada,11,87201.82687761117,37,88.87940071409724,Master's,Certified
UK,11,110673.2847868905,17,91.61017866007182,PhD,Not Certified
Canada,8,61106.15857371382,12,81.05752456349568,Diploma,Not Certified
France,7,94391.58929296746,4,87.85413365793157,Master's,Certified
South Africa,19,75511.98232446707,14,68.7192397196111,Diploma,Certified
China,12,112518.49570111927,7,61.16881882057973,Master's,Not Certified
France,18,86658.94164167075,34,74.54680588155004,Bachelor's,Not Certified
Germany,11,105825.05893769485,24,61.419045227144,PhD,Not Certified
India,7,65998.33736600049,26,66.74974155756556,Bachelor's,Certified
India,4,58997.79289773671,2,64.55588782960764,Bachelor's,Certified
Brazil,4,50719.68766429024,37,70.00790219191943,Diploma,Certified
UK,20,87629.22699251362,21,67.4489818741497,Diploma,Certified
Australia,12,110345.04558674623,19,97.95012030925153,PhD,Certified
Brazil,2,69713.92070792988,14,52.538452334951366,PhD,Not Certified
South Africa,6,82415.2854697765,14,71.65542387064113,Master's,Not Certified
USA,16,127838.807608455,16,70.46773823550033,PhD,Certified
South Africa,12,96535.40240892237,9,91.1766195228956,Master's,Not Certified
Australia,14,30000.0,7,50.0,,Not Certified
USA,4,49226.78811349129,5,73.57941485965296,Diploma,Not Certified
